"Srno","ExpNo","QType","Question","Option1","Option2","Option3","Option4","Answer"
"71","17","MO","For the fig given below answer the questions from  10 to 11
<br>
<center>
<img src=""img/selfeval_img1.bmp"" />
</center>
<br>
R- Residential place<br>
W- Work Place<br>
S- Shopping mall<br>
what are the number of trip production?
","3","5","6","4","5"
"74","17","MO","What is the number of trips for Zone 2 for household having 3-4 persons in house?",".",".",".",".","."
"75","1","MO","Which represent the better for the following given coefficient of determination? ","r = 0.25","r = 0.47","r = 0.7","r = 0.89","r = 0.89"
"76","1","MO","Which represent the better for the following given coefficient of determination?  ","r = -0.45   ","r = -0.56   ","r = -0.78   ","r = -0.9","r = -0.9"
"77","1","MO","In case linear regression model Y = a + bX. what is the sign of r?

","a","b","a/b","b/a","b"
"78","1","MO","What is the degree of freedom for a given linear equation of 2 variables and 6 observations?","2","4","6","8","4"
"79","3","MO","The impedance matrix is in the form of","Cost matrix","Distance Matrix","Time Matrix","All the above","All the above"
"80","3","MO","The impedance function can be in the form of except","Power","Exponential","Gamma","Beta","Beta"
"81","3","MO","What are the input files used for gravity model","Cost Matrix,Base year Trip Matrix","OD Matrix,Base year Trip Matrix","Future Matrix,OD Matrix","Base year Trip Matrix,OD Matrix","Cost Matrix,Base year Trip Matrix"
"83","4","MO","Which are the balancing factor ?","Trip production balancing factor



","Trip Distribution balancing factor


","Both","None","Both"
"84","4","MO","The trips generally are in which unit?","Trips per month

","Trips per day","Trips per peak hour","Trips per fifteen min","Trips per peak hour"
"85","4","MO","The output of Gravity model in input of which step in the Travel Demand Modelling","Trip distribution Growth Factor

","Model Split","Traffic Assignment","Equilibrium Assignment","Trip distribution Growth Factor"
"86","4","MO","The impedance function uses which input file?","Base year origin matrix
","Base year destination matrix

","Cost matrix
","All of the above","Cost matrix"
"87","4","TF","The input function is future year PA matrix","True","False","-","-","True"
"88","5","MO","Calibration mainly depends on ","Frictional function

","Impedance function
","Both
","None","Frictional Function"
"89","5","MO","Optimal Beta value is obtained when","Residual error is maximum

","Residual error is minimum
","Maximum no of iteration
","None of the above","Residual error is minimum"
"90","5","TF","The value of Beta obtained from Origin Constrained and from destination Constrained are same","True","False","-","-","True"
"91","5","TF","If future year Trip Matrix file is used as input file for this experiment, the value of beta changes","True","False","-","-","True"
"92","5","TF","The value of beta shows the sensitivity of travel cost.","True","False","-","-","True"
"93","5","MO","Travel cost matrix is calculated using which factors","Time and distance

","Number of trips
","Number of person per household
","Difference between the travel cost of the trips produced and attracted for a pair of zones","Time and distance"
"94","6","MO","The value of friction factor function is constant for a given trip matrix when","Cost Matrix has constant values

","Cost function is zero
","Both
","Neither","Cost function is zero"
"95","6","MO","The range of beta value is from","(-1,1)

","(0,1)
","(-1,0)
","None","(0,1)"
"96","6","TF","The value of beta is the measure of sensitivity of trips and travel cost","True","False","-","-","True"
"97","6","TF","The iterations takes place until the Sum of Squares of error is minimum","True","False","-","-","True"
"98","6","MO","The input file for this experiment is","OD matrix 

","Cost matrix and base year OD matrix
","Base year PA matrix and Cost matrix
","None","Base year PA matrix and Cost matrix"
"99","6","TF","Most of the time the base year trip matrix is Person trips per peak hour","True","False","-","-","True"
"100","7","MO","Suppose there are 2 types of buses Public transport and Private Bus having  fares of Rs 10 and Rs 12 respectively. The total no of trips is 2000.

Probability of choosing Public Bus is 
","0.85","0.15  ","0.88  ","0.12","0.12"
"101","7","MO","Using the problem in question no. 6 answer the following:<br>
No of trips by Private bus ","1700  ","240","750","600","240"
"102","7","MO","Now the private bus is divided into two types Blue and Red colour but the fare is same. So now we have 3 types of buses having fare of Rs 2 and both the private buses having Rs 12.<br>
Our new logit model for each of Coloured bus is <br>
<img src=""img/selfeval_img1.bmp"">
<br>
Referring to the problem asked in question no. 6 and the condition presented above answer the question no.8 to 12:<br>
Probability of choosing Red bus
","0.341  ","0.106","0.231  ","0.182","0.106"
"103","7","MO","Trips by Public Bus considering above logit model","1300  ","1456  ","1576  ","1867","1576  "
"104","12","MO","Refer this question from 1 to 8
Consider a stretch of 250 meters. A car approaches signalized intersection. The time taken for it to decelerate and come to rest is 6 sec. The signal shows red light for 2.5 min. After the signal turns green it takes 4 sec to accelerate and 25 sec  to reach the stop line.Its average speed is 40 km/hr. Calculate the Delays shown below. 
Stopped time Delay","0 sec","25 sec","150 min","10 min","0 sec"
"105","12","MO","Total Approach Delay","6 sec","4 sec","10 sec","12 sec","10 sec"
"106","12","MO","Time in queue delay","185 sec","150 sec","160 sec","100 sec","185 sec"
"107","12","MO","Control Delay","160 sec","156 sec","160 sec","100 sec","156 sec"
"108","12","MO","Operational Delay","4 sec","10 sec","12 sec","25 sec","25 sec"
"109","12","MO","What is the free flow time for the above example?","30 sec","22.5 sec","35 sec","23.5 sec","22.5 sec"
"110","12","MO","Observed travel time","211 sec","234.5 sec","207.5 sec","213.8 sec","207.5 sec"
"111","12","TF","Can the license plate approach be applied only to straight road sections and not including intersections?","True","False","-","-","False"
"112","12","TF","Average travel time 
(Free flow travel time + Delay time)/ Number of matched license plate
","True","False","-","-","True"
"113","12","TF","Observed travel time - free flow time= Delay due to impedance ","True","False","-","-","False"
"114","8","TF","The volume is assigned to link with respect to minimum impedance between two nodes and not between minimum impedance between Origin Destination.","True","False","","","False"
"115","8","TF","All the drivers are allowed to change their path in between?","True","False","","","False"
"116","8","TF","Drivers behaviours is not taken into account while assigning traffic volume","True","False","","","True"
"117","8","TF","All or nothing is an iterative process","True","False","","","False"
"118","8","TF","The intrazonal impedance value should be zero?","True","False","","","True"
"120","9","TF","The behavior of the driver is considered?","True","False","","","True"
"121","9","TF","Can the driver chose another path for a given OD pair even thought the travel time for that path is more?","Yes","No","","","No"
"122","9","TF","Freeflow Travel time is used for the first iteration while using BPR function?","Yes","No","","","Yes"
"123","9","TF","UE does not give effective link volumes than AON","True","False","","","True"
"124","9","MO","Link performance function is a function of?","Link flows","Capacity","Free flow time","All of the above","All of the above"
"125","11","TF","Route choice is based on perceived travel time rather than measured travel time.","True","False","","","True"
"126","11","TF","No motorist can improve his or her perceived travel time by unilaterally changing routes.","True","False","","","True"
"127","11","TF","If the variance of travel time perception = 0, then Stochastic User Equilibrium is not equal to User Equilibrium.","True","False","","","False"
"128","11","TF","When theta is large means perception error is small and user's will tend to select minimum travel time.","True","False","","","True"
"129","11","TF","If the perception error is high then travelers use many routes with few significantly longer than true shortest path. ","True","False","","","True"
"130","11","TF","As theta tends to 0 there is equal flow on all paths regardless of travel time.","True","False","","","True"
"133","10","TF","When the vehicles travel with free flow time then the link flows obtained from User equilibrium and System Optimization are equal. ","True","False","","","True"
"132","11","TF","Perceived travel time of each path is a random variable ","True","False","","","True"
"134","10","TF","UE objective function is similar to SO objective function when link performance function is dependent of link flows.","True","False","","","False"
"135","10","TF","Network will have marginal link cost as a result of similar UE and SO flows.","True","False","","","True"
